UNK 0
BETWEEN 4995
START 4995
END 4995
[530.0,24.0,4.0,2.0,9.0,216.0,360.0,350.0] 733
[287.0,41.0,893.0,2.0,8.0,361.0,340.0,857.0] 1
[635.0,39.0,420.0,1.0,7.0,360.0,71.0,348.0] 1
[487.0,18.0,415.0,1.0,8.0,195.0,338.0,784.0] 1
[742.0,2.0,402.0,2.0,7.0,388.0,218.0,651.0] 1
[2306.0,17.0,224.0,1.0,8.0,357.0,414.0,438.0] 1
[442.0,11.0,426.0,2.0,7.0,829.0,594.0,511.0] 1
[639.0,40.0,545.0,1.0,8.0,145.0,220.0,338.0] 1
[501.0,20.0,427.0,1.0,6.0,645.0,474.0,474.0] 1
[765.0,5.0,442.0,2.0,7.0,829.0,340.0,0.0] 1
[877.0,21.0,406.0,2.0,3.0,502.0,195.0,218.0] 1
[149.0,22.0,68.0,1.0,6.0,361.0,423.0,357.0] 1
[239.0,35.0,444.0,1.0,9.0,360.0,361.0,396.0] 1
[341.0,49.0,957.0,1.0,6.0,344.0,195.0,348.0] 1
[1707.0,36.0,975.0,2.0,7.0,829.0,340.0,499.0] 1
[427.0,9.0,415.0,1.0,8.0,369.0,594.0,195.0] 1
[729.0,52.0,463.0,1.0,8.0,610.0,348.0,195.0] 1
[186.0,27.0,178.0,1.0,3.0,195.0,229.0,396.0] 1
[136.0,20.0,892.0,1.0,5.0,348.0,361.0,348.0] 1
[402.0,6.0,364.0,1.0,8.0,481.0,195.0,222.0] 1
[258.0,37.0,55.0,1.0,9.0,218.0,62.0,648.0] 1
[328.0,47.0,444.0,1.0,9.0,651.0,361.0,338.0] 1
[539.0,25.0,146.0,1.0,8.0,348.0,345.0,338.0] 1
[872.0,21.0,599.0,2.0,8.0,366.0,195.0,842.0] 1
[862.0,19.0,448.0,1.0,6.0,418.0,338.0,195.0] 1
[555.0,28.0,791.0,1.0,6.0,195.0,218.0,484.0] 1
[313.0,45.0,450.0,2.0,9.0,645.0,195.0,594.0] 1
[525.0,23.0,453.0,1.0,5.0,800.0,656.0,855.0] 1
[224.0,32.0,84.0,1.0,6.0,348.0,347.0,195.0] 1
[666.0,43.0,158.0,1.0,8.0,348.0,334.0,195.0] 1
[268.0,39.0,669.0,1.0,7.0,829.0,345.0,348.0] 1
[35.0,5.0,77.0,1.0,9.0,373.0,376.0,671.0] 1
[592.0,33.0,160.0,1.0,6.0,645.0,246.0,218.0] 1
[538.0,25.0,542.0,1.0,4.0,594.0,571.0,617.0] 1
[339.0,49.0,162.0,2.0,5.0,490.0,645.0,338.0] 1
[1811.0,51.0,341.0,2.0,10.0,617.0,594.0,360.0] 1
[178.0,26.0,991.0,2.0,4.0,507.0,343.0,596.0] 1
[252.0,36.0,166.0,1.0,8.0,481.0,830.0,347.0] 1
[128.0,19.0,117.0,2.0,2.0,195.0,571.0,218.0] 1
[105.0,15.0,269.0,1.0,8.0,665.0,195.0,338.0] 1
[2045.0,32.0,201.0,2.0,8.0,126.0,152.0,423.0] 1
[705.0,49.0,244.0,1.0,5.0,339.0,358.0,499.0] 1
[791.0,9.0,970.0,1.0,5.0,651.0,248.0,195.0] 1
[920.0,28.0,479.0,1.0,8.0,481.0,164.0,480.0] 1
[435.0,10.0,325.0,1.0,7.0,383.0,420.0,338.0] 1
[84.0,12.0,858.0,1.0,9.0,474.0,218.0,423.0] 1
[645.0,40.0,170.0,1.0,7.0,348.0,338.0,214.0] 1
[189.0,27.0,207.0,1.0,9.0,195.0,338.0,348.0] 1
[162.0,24.0,181.0,1.0,7.0,348.0,347.0,857.0] 1
[1182.0,13.0,594.0,2.0,4.0,673.0,248.0,423.0] 1
[437.0,11.0,621.0,1.0,9.0,414.0,360.0,195.0] 1
[149.0,22.0,774.0,2.0,8.0,571.0,840.0,195.0] 1
[326.0,47.0,869.0,2.0,5.0,240.0,645.0,195.0] 1
[266.0,38.0,181.0,1.0,7.0,218.0,195.0,218.0] 1
[108.0,16.0,846.0,1.0,6.0,651.0,358.0,361.0] 1
[821.0,13.0,509.0,1.0,10.0,414.0,157.0,684.0] 1
[265.0,38.0,525.0,1.0,9.0,866.0,218.0,499.0] 1
[819.0,13.0,497.0,1.0,9.0,218.0,195.0,214.0] 1
[1800.0,49.0,456.0,1.0,7.0,420.0,361.0,656.0] 1
[569.0,30.0,500.0,2.0,8.0,866.0,195.0,863.0] 1
[711.0,50.0,502.0,1.0,6.0,344.0,423.0,195.0] 1
[436.0,11.0,791.0,1.0,6.0,348.0,347.0,586.0] 1
[85.0,13.0,940.0,2.0,8.0,195.0,361.0,854.0] 1
[825.0,14.0,504.0,2.0,4.0,218.0,195.0,340.0] 1
[870.0,20.0,676.0,1.0,6.0,227.0,361.0,348.0] 1
[400.0,5.0,507.0,1.0,7.0,511.0,348.0,195.0] 1
[61.0,9.0,300.0,1.0,8.0,360.0,218.0,218.0] 1
[115.0,17.0,765.0,2.0,4.0,195.0,218.0,338.0] 1
[167.0,24.0,250.0,1.0,8.0,423.0,361.0,340.0] 1
[490.0,18.0,493.0,2.0,7.0,195.0,665.0,338.0] 1
[538.0,25.0,750.0,1.0,7.0,361.0,358.0,348.0] 1
[591.0,33.0,817.0,1.0,8.0,453.0,423.0,227.0] 1
[81.0,12.0,834.0,1.0,8.0,319.0,511.0,360.0] 1
[709.0,50.0,889.0,2.0,5.0,651.0,650.0,338.0] 1
[272.0,39.0,512.0,2.0,9.0,651.0,511.0,360.0] 1
[317.0,46.0,513.0,2.0,7.0,829.0,611.0,611.0] 1
[188.0,27.0,517.0,1.0,6.0,344.0,360.0,361.0] 1
[367.0,1.0,517.0,1.0,6.0,439.0,361.0,90.0] 1
[231.0,33.0,373.0,1.0,6.0,489.0,195.0,248.0] 1
[133.0,19.0,839.0,2.0,9.0,218.0,218.0,652.0] 1
[537.0,25.0,517.0,1.0,6.0,613.0,571.0,854.0] 1
[676.0,45.0,59.0,1.0,9.0,414.0,151.0,361.0] 1
[2263.0,11.0,519.0,1.0,8.0,145.0,338.0,195.0] 1
[498.0,19.0,471.0,1.0,10.0,195.0,474.0,361.0] 1
[273.0,39.0,455.0,2.0,8.0,866.0,338.0,195.0] 1
[510.0,21.0,948.0,1.0,2.0,574.0,195.0,420.0] 1
[634.0,39.0,25.0,1.0,6.0,485.0,854.0,195.0] 1
[481.0,17.0,852.0,1.0,3.0,195.0,845.0,0.0] 1
[508.0,21.0,459.0,1.0,8.0,361.0,360.0,195.0] 1
[467.0,15.0,464.0,1.0,8.0,175.0,499.0,195.0] 1
[693.0,47.0,466.0,1.0,8.0,611.0,474.0,338.0] 1
[546.0,26.0,467.0,1.0,7.0,339.0,358.0,360.0] 1
[387.0,4.0,470.0,1.0,7.0,651.0,361.0,857.0] 1
[134.0,20.0,940.0,2.0,8.0,475.0,361.0,854.0] 1
[583.0,32.0,470.0,1.0,7.0,360.0,361.0,358.0] 1
[678.0,45.0,470.0,1.0,7.0,361.0,829.0,348.0] 1
[205.0,30.0,511.0,1.0,8.0,195.0,466.0,192.0] 1
[528.0,24.0,113.0,1.0,8.0,348.0,345.0,857.0] 1
[816.0,13.0,587.0,2.0,5.0,831.0,831.0,195.0] 1
[360.0,52.0,932.0,1.0,8.0,474.0,476.0,195.0] 1
[278.0,40.0,476.0,1.0,9.0,367.0,645.0,358.0] 1
[739.0,2.0,481.0,2.0,9.0,375.0,594.0,617.0] 1
[61.0,9.0,813.0,2.0,3.0,218.0,511.0,195.0] 1
[1773.0,45.0,482.0,2.0,6.0,319.0,502.0,503.0] 1
